ref_area.label,indicator.label,source.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Viet Nam,"Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2023 (%)",ILO - Modelled Estimates,Sex: Total,"Age (Youth, adults): 15+",,2022,1.54,Real value,,,
Viet Nam,"Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2023 (%)",ILO - Modelled Estimates,Sex: Total,"Age (Youth, adults): 15+",,2021,2.38,Real value,,,
Viet Nam,"Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2023 (%)",ILO - Modelled Estimates,Sex: Total,"Age (Youth, adults): 15+",,2020,2.1,Real value,,,
Viet Nam,"Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2023 (%)",ILO - Modelled Estimates,Sex: Total,"Age (Youth, adults): 15+",,2019,1.68,Real value,,,
Viet Nam,"Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2023 (%)",ILO - Modelled Estimates,Sex: Total,"Age (Youth, adults): 15+",,2018,1.16,Real value,,,
