ref_area.label,indicator.label,source.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Viet Nam,"Unemployment by sex, age and marital status (thousands)",LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15+",Marital status (Detailed): Single,2022,489.827,,,,Repository: ILO-STATISTICS - Micro data processing
Viet Nam,"Unemployment by sex, age and marital status (thousands)",LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15+",Marital status (Detailed): Married,2022,319.862,,,,Repository: ILO-STATISTICS - Micro data processing
